iteration,destroy_operator,repair_operator,removed_count,accepted,event,temperature,candidate_feasible,candidate_active_objective,current_active_objective,best_active_objective,best_tardiness,best_travel_time,best_distance,best_vehicle_cost,best_used_vehicle_count,completed_iterations
1,route,regret2,2,True,GLOBAL_BEST,1.0,True,9861.093514,9861.093514,9861.093514,356.407054,8591.952976,9861.093514,3000000.0,25,50
2,random,depot_vehicle,5,True,GLOBAL_BEST,0.995,True,9733.572170000001,9733.572170000001,9733.572170000001,356.407054,8533.44984,9733.572170000001,3000000.0,25,50
3,worst,depot_vehicle,15,True,GLOBAL_BEST,0.990025,True,9227.536725,9227.536725,9227.536725,686.798705,7964.341098,9227.536725,2880000.0,24,50
4,worst,depot_vehicle,8,True,SA_ACCEPTED,0.985074875,True,9227.536725,9227.536725,9227.536725,686.798705,7964.341098,9227.536725,2880000.0,24,50
5,random,regret2,11,False,REJECTED,0.9801495006250001,True,9537.453254,9227.536725,9227.536725,686.798705,7964.341098,9227.536725,2880000.0,24,50
6,random,depot_vehicle,12,True,GLOBAL_BEST,0.9752487531218751,True,8842.621668000002,8842.621668000002,8842.621668000002,488.655396,7792.188826999999,8842.621668000002,2880000.0,24,50
7,route,depot_vehicle,2,False,REJECTED,0.9703725093562657,True,8907.186245,8842.621668000002,8842.621668000002,488.655396,7792.188826999999,8842.621668000002,2880000.0,24,50
8,random,depot_vehicle,5,True,GLOBAL_BEST,0.9655206468094844,True,8771.405971000002,8771.405971000002,8771.405971000002,439.91932600000007,7750.325911000001,8771.405971000002,2880000.0,24,50
9,worst,depot_vehicle,8,True,GLOBAL_BEST,0.960693043575437,True,8671.536867,8671.536867,8671.536867,439.91932600000007,7707.503141,8671.536867,2880000.0,24,50
10,random,depot_vehicle,6,True,GLOBAL_BEST,0.9558895783575597,True,8652.910696000003,8652.910696000003,8652.910696000003,439.91932600000007,7663.337291999999,8652.910696000003,2760000.0,23,50
11,random,greedy,8,False,REJECTED,0.9511101304657719,True,8894.022687,8652.910696000003,8652.910696000003,439.91932600000007,7663.337291999999,8652.910696000003,2760000.0,23,50
12,worst,depot_vehicle,13,False,REJECTED,0.946354579813443,True,8995.983331000001,8652.910696000003,8652.910696000003,439.91932600000007,7663.337291999999,8652.910696000003,2760000.0,23,50
13,route,depot_vehicle,2,False,REJECTED,0.9416228069143757,True,8815.115939000001,8652.910696000003,8652.910696000003,439.91932600000007,7663.337291999999,8652.910696000003,2760000.0,23,50
14,random,depot_vehicle,7,False,REJECTED,0.9369146928798039,True,8933.012096000002,8652.910696000003,8652.910696000003,439.91932600000007,7663.337291999999,8652.910696000003,2760000.0,23,50
15,worst,regret2,5,True,GLOBAL_BEST,0.9322301194154049,True,8629.429204000002,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
16,route,depot_vehicle,2,False,REJECTED,0.9275689688183278,True,8647.590033000002,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
17,worst,regret2,14,False,REJECTED,0.9229311239742362,True,9158.162553000002,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
18,random,greedy,15,False,REJECTED,0.918316468354365,True,9140.628376,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
19,random,regret2,14,False,REJECTED,0.9137248860125932,True,9180.51145,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
20,worst,regret2,9,False,REJECTED,0.9091562615825302,True,8777.812124000002,8629.429204000002,8629.429204000002,439.91932600000007,7629.273636999999,8629.429204000002,2760000.0,23,50
