node_id,original_node_id,latitude,longitude,x,y,degree,node_role,road_rank,road_class,importance_score,node_type,node_name,turn_p
R152,3290007216,35.2484271361785,126.96959260976412,197232.58060234558,294656.5212101465,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,163.822862,106,담양JC,1
R153,3940002401,35.00061485963678,127.81134425768806,274066.4322220322,267463.90321599646,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,163.737478,106,하동IC,0
R154,3540164102,36.436814776584164,128.89078596332192,369544.26998454524,428176.84926790243,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,163.709991,106,동안동IC,0
R155,2760149801,36.31066926966624,127.57000857697388,251191.9978,412667.8914000001,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,163.571946,106,옥천IC,0
R156,1960353802,35.47958471802382,129.2901431460611,407854.0661997928,322714.1966726505,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,162.02644,106,청량IC교차로,1
R157,3850002102,35.19540150004512,128.80554052581957,364440.9160128319,290266.8345778996,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,162.024302,106,장유IC(서측),1
R158,2400146902,37.399426064800494,127.75639392009435,266974.5880013946,533610.3325971061,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,161.431108,106,동양평IC,1
R159,3140011501,35.97580850400379,127.64755233083078,258403.92162191248,375554.2761174647,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,160.625654,106,무주IC,0
R160,3500091002,35.94549994703738,129.3933703230259,415963.1676829749,374646.1132396844,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,160.069372,106,문덕교차로램프,1
R161,2300265401,37.18747377890298,127.44158702463423,239209.79280598124,509910.0115508569,6,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,160.049738,106,남이천IC(북측),1
R162,3510006310,36.06512462044577,129.2244225124345,400412.692427863,387561.7956446125,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.953839,106,서포항IC입구,0
R163,3650170410,36.38824150562738,129.3693324384768,412593.84609999973,423733.5421999991,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.824869,106,영덕IC,0
R164,3580026302,36.44544183129012,127.95588062139224,285699.6181973273,427896.9731000185,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.645375,106,화서IC앞,0
R165,2940015301,36.237577539914184,126.78890441555836,181024.08222925404,404427.2054246294,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.504494,106,서부여IC,0
R166,2820001914,36.91915126503056,128.3716169545301,322222.3422710673,480919.48984710267,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.49123,106,대강교차로,1
R167,2510003506,37.23596396173221,128.0862454775043,296390.48685374984,515753.12630934385,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.487784,106,신림IC앞,0
R168,3400015702,35.02561191706836,126.4871628936932,153198.4163180361,270056.5054458762,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.379145,106,함평JC,1
R169,2600014104,37.63647870612496,128.49418800211384,331887.2273063026,560701.9417730969,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.36815,106,속사IC앞,1
R170,3330028402,34.83964711489053,127.30145372771976,227572.78097581185,249346.9148351611,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,159.039529,106,벌교IC,0
R171,3090009202,35.57828553300431,126.83199013454905,184771.3645010107,331266.2716777736,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,158.93774,106,정읍IC(남측),1
R172,3540003801,36.47356661240001,128.62200225870626,345372.0923925024,431816.5981731047,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,158.537565,106,남안동IC,0
R173,2881946801,36.79607828772292,127.044832113978,204001.21300000045,466383.5318999998,8,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,158.180977,106,현충교차로,1
R174,3700011801,36.66963158561876,128.54358409809632,337993.9735107429,453460.71310655336,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.866056,106,예천IC,1
R175,3390003551,34.86143355653619,126.47955009369716,152408.8978813101,251845.9684728674,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.780323,106,일로IC앞,1
R176,3270015403,35.064855505024795,126.59960228547882,163477.1871829349,274363.3442427531,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.349084,106,문평IC교차로,1
R177,2290013003,37.85270602934879,126.76547602596554,179360.03581644635,583677.0145518994,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.287696,106,내포IC,0
R178,2500009102,37.84165131007128,127.76539521180986,267371.3415728322,582700.1636808723,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.206763,106,춘천IC입구(남측),1
R179,1720156700,37.482210447292694,126.49406486699463,155251.69746048213,542649.9422131594,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.137435,106,공항신도시JC도윽,1
R180,3570881901,36.05490444668178,129.00439112099102,380609.3596000001,385996.6126000006,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.102836,106,임고하이패스IC(서측),1
R181,4170024201,35.235922159326385,128.5643053923312,342397.4562097555,294390.41194723593,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.09315,106,서마산IC,1
R182,3130018502,35.77158402565989,127.44650802903823,240374.71530558492,352792.2899585127,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.084424,106,진안IC,0
R183,3630087704,36.50269152404785,129.1221119641349,390128.5871371848,435920.1906857367,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.077792,106,동청송영양IC교차로,0
R184,1960005809,35.51218997561298,129.23679603851727,402929.3831169554,326221.54939099716,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,157.010689,106,문수IC교차로,1
R185,2220316200,37.66031407070023,127.32906772733405,229035.67756117877,562348.0933614221,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,156.510253,106,달뫼IC,0
R186,2570133201,37.90945860412725,128.04621881235678,292006.1027704375,590466.4516654216,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,155.584293,106,원거교차로,1
R187,2650053601,37.97963938716758,128.0931292604705,296040.2010453876,598303.8749465076,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,155.260864,106,유목교차로,1
R188,2980125001,36.626643149641495,126.78061324812647,180376.94143984703,447602.41068481706,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,155.153316,106,예산예당호휴게소하이패스IC,0
R189,3160014501,35.55178512338973,127.31984741213536,229000.9729955896,328360.10146782314,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,154.126222,106,오수IC,0
R190,2510248701,37.394773934207514,127.8650522051658,276600.60744530894,533176.6919563513,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,153.493412,106,서원주IC,0
R191,2860180501,36.461893903926224,127.04786493735034,204290.37285161534,429298.98322375095,7,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,153.024695,106,방흥교차로,0
R192,2520012902,37.764191084907466,128.83704063683513,361874.0911642673,575416.1102796791,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.607199,106,강릉JC,1
R193,2400240102,37.52325270288406,127.44460749126394,239302.52325030058,547177.7580366225,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.398517,106,양평IC,0
R194,2360209602,37.88376224092043,127.21150427964339,218606.23561079355,587119.2342133565,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.365925,106,포천IC교차로,1
R195,2670088102,38.06386676303538,128.60516667757454,340867.8447778226,608305.7828299454,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.311562,106,양양JC,0
R196,2670087502,38.15237303656088,128.5853079274351,338957.1401414308,618100.827765836,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.203141,106,북양양IC,1
R197,2240004502,37.38360859528484,126.76072011073605,178808.7554193392,531613.1801182856,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.202225,106,월곶JC(남측),0
R198,3570850802,35.91710485897675,129.00662345392192,381125.37181694194,370707.7625644519,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.189703,106,영천JC,1
R199,2180044101,37.67371180129533,126.89050547886337,190340.370884598,563789.806930665,4,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,152.004319,106,통일로IC,0
R200,2580005008,37.45140031702426,128.0726756363737,294914.71909880155,539650.5232748854,3,anchor|named_interchange_or_intersection|branch|node_type_106,101,고속국도/고속도로,151.919721,106,새말IC앞,0
