vehicle_id,start_depot,customer_sequence,end_depot,route_tardiness,route_travel_time,route_distance,route_vehicle_cost,active_objective_value
V001,D01,C004|C016,D01,0.0,555.494183,706.06223,120000.0,0.0
V002,D01,C001|C015|C003,D05,0.0,517.94857,665.375648,120000.0,0.0
V003,D01,C010|C005|C002,D03,0.0,433.51562,493.07785,120000.0,0.0
V004,D01,C006|C009,D01,0.0,353.011653,391.697943,120000.0,0.0
V005,D01,C034|C017|C007,D02,0.0,512.8960050000001,621.529197,120000.0,0.0
V006,D01,C011|C020|C008,D05,0.0,594.601584,693.485847,120000.0,0.0
V007,D01,C022|C039|C047,D03,0.0,604.4763959999999,789.0860520000001,120000.0,0.0
V008,D01,C044|C014,D03,0.0,550.990857,612.238109,120000.0,0.0
V009,D02,C013|C018|C027,D02,0.0,583.4254900000001,674.215872,120000.0,0.0
V010,D02,C035|C026,D03,0.0,559.398093,621.910897,120000.0,0.0
V011,D02,C025|C023,D01,0.0,548.33377,638.997443,120000.0,0.0
V012,D02,C040|C037|C042,D01,0.0,518.397657,611.0694020000001,120000.0,0.0
V013,D02,C030|C038,D05,0.0,627.220248,606.655616,120000.0,0.0
V014,D03,C033|C028,D01,0.0,430.465212,515.4553539999999,120000.0,0.0
V015,D03,C049|C050,D03,0.0,481.879714,652.323928,120000.0,0.0
V016,D03,C032|C021,D01,0.0,581.47622,567.003594,120000.0,0.0
V017,D03,C031|C045,D01,0.0,467.05445100000003,563.239625,120000.0,0.0
V018,D03,C019,D01,0.0,508.91271,637.517241,120000.0,0.0
V019,D03,C029,D01,0.0,388.915031,451.579316,120000.0,0.0
V020,D03,C036,D01,0.0,571.486877,719.464334,120000.0,0.0
V021,D04,C043,D01,0.0,553.697919,628.529956,120000.0,0.0
V022,D04,C024,D03,0.0,390.724021,517.389557,120000.0,0.0
V023,D05,C041,D01,0.0,384.35332600000004,489.306607,120000.0,0.0
V024,D05,C048,D01,0.0,433.94075999999995,485.155744,120000.0,0.0
V025,D05,C012,D01,0.0,460.309164,583.1272289999999,120000.0,0.0
V026,D05,C046,D01,0.0,479.559878,603.924119,120000.0,0.0
