vehicle_id,sequence_no,node_id,arrival_time,waiting_time,service_start,service_end,departure_time,tardiness,cumulative_load
V001,0,D01,08:00,0.0,08:00,08:00,08:00,0.0,9.0
V001,1,C002,08:22,18.399999999999977,08:40,08:50,08:50,0.0,4.0
V001,2,C001,09:03,0.0,09:03,09:13,09:13,0.0,0.0
V001,3,D01,09:31,0.0,09:31,09:31,09:31,0.0,0.0
V002,0,D02,08:00,0.0,08:00,08:00,08:00,0.0,10.0
V002,1,C003,08:16,43.80000000000001,09:00,09:10,09:10,0.0,4.0
V002,2,C004,09:24,0.0,09:24,09:34,09:34,0.0,0.0
V002,3,D02,09:49,0.0,09:49,09:49,09:49,0.0,0.0
